AA.LAV..BLE | 2004-02-11T08:15:22.040000Z - 2004-02-11T08:15:22.960000Z | 200.0 Hz, 185 samples
AA.LAV..BLE | 2004-02-11T08:15:22.990000Z - 2004-02-11T08:15:26.955000Z | 200.0 Hz, 794 samples
AA.LAV..BLE | 2004-02-11T08:15:26.985000Z - 2004-02-11T08:15:27.225000Z | 200.0 Hz, 49 samples
AA.LAV..BLE | 2004-02-11T08:15:27.255000Z - 2004-02-11T08:15:45.090000Z | 200.0 Hz, 3568 samples
AA.LAV..BLE | 2004-02-11T08:15:45.165000Z - 2004-02-11T08:15:46.505000Z | 200.0 Hz, 269 samples
AA.LAV..BLE | 2004-02-11T08:15:46.545000Z - 2004-02-11T08:15:47.245000Z | 200.0 Hz, 141 samples
AA.LAV..BLE | 2004-02-11T08:15:47.275000Z - 2004-02-11T08:15:47.435000Z | 200.0 Hz, 33 samples
AA.LAV..BLE | 2004-02-11T08:15:47.465000Z - 2004-02-11T08:15:50.565000Z | 200.0 Hz, 621 samples
AA.LAV..BLE | 2004-02-11T08:15:50.595000Z - 2004-02-11T08:15:51.480000Z | 200.0 Hz, 178 samples
AA.LAV..BLE | 2004-02-11T08:15:51.510000Z - 2004-02-11T08:15:51.655000Z | 200.0 Hz, 30 samples
AA.LAV..BLE | 2004-02-11T08:15:51.690000Z - 2004-02-11T08:15:52.045000Z | 200.0 Hz, 72 samples
AA.LAV..BLE | 2004-02-11T08:15:52.085000Z - 2004-02-11T08:15:52.830000Z | 200.0 Hz, 150 samples
AA.LAV..BLE | 2004-02-11T08:15:52.880000Z - 2004-02-11T08:15:54.440000Z | 200.0 Hz, 313 samples
AA.LAV..BLE | 2004-02-11T08:15:54.490000Z - 2004-02-11T08:15:54.505000Z | 200.0 Hz, 4 samples
AA.LAV..BLE | 2004-02-11T08:15:54.560000Z - 2004-02-11T08:15:54.655000Z | 200.0 Hz, 20 samples
